model,tool_condition,item_id,repeat,bucket,comparability_flag,evidence_grounding,tool_use_correctness,failure_category,evidence_quote,confidence,judge_model,prompt_hash
claude,no_tool,AIR-XENT-01,2,airline_cross_entity,correct,cites_relevant_note,n/a,,"The model computed both revenue growth and operating margin for all five airlines, explicitly recognized that Alaska led on percentage growth while Delta led on operating margin and operating income, and provided a well-justified dimension-specific conclusion. Quote: ""Alaska showed the strongest percentage growth in both revenue (+12.6%) and operating income (+44.7%), reflecting a smaller base, but its absolute profitability remains far below Delta and United""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-XENT-02,2,airline_cross_entity,correct,cites_relevant_note,n/a,,"The model correctly computed both metrics for all five airlines, ordered both rankings accurately, and correctly concluded that the top-ranked airline differs between the two rankings. Quote: ""ANSWER: No — Alaska Air Group has the highest FY2023–FY2024 revenue growth (12.55%), while Delta Air Lines has the highest FY2024 operating margin (9.73%)""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,tool,AIR-XENT-01,2,airline_cross_entity,correct,cites_relevant_note,effective,,"The model correctly computed both operating margin and revenue growth across all five airlines, recognized that Alaska led in revenue growth while Delta led in operating margin, and provided a well-justified dimension-specific answer. Quote: ""Alaska had the fastest revenue growth (12.6%, boosted by the Hawaiian Airlines acquisition) and strong profit growth (44.7%), but off a much smaller base and lower absolute margin."" [quote not found verbatim in answer]",low,google/gemini-3.8-flash,78eabc0e77e5e707
claude,tool,AIR-XENT-02,2,airline_cross_entity,correct,cites_relevant_note,effective,,"The model accurately retrieved the FY2023 and FY2024 revenue and operating income figures for all five airlines, computed the metrics correctly, ranked each dimension properly, and correctly answered 'No' with the appropriate leaders identified. Quote: ""The top-ranked airline is not the same across the two rankings: Alaska Air Group leads in revenue growth (+12.56%), while Delta Air Lines leads in operating margin (9.73%) in FY2024."" [quote not found verbatim in answer]",low,google/gemini-3.8-flash,78eabc0e77e5e707
opus,no_tool,AIR-XENT-01,2,airline_cross_entity,correct,cites_relevant_note,n/a,,"The model computes revenue growth and operating margins for all five airlines, identifies Alaska as the growth leader (12.6%) and Delta as the operating margin leader (9.7%), notes the comparability nuances, and delivers a well-justified dimension-specific evaluation. Quote: ""Delta is the strongest performer on scale and profitability; United is the strongest on year-over-year momentum. On a combined view, Delta leads.""",high,google/gemini-3.8-flash,78eabc0e77e5e707
opus,no_tool,AIR-XENT-02,2,airline_cross_entity,correct,cites_relevant_note,n/a,,"The model correctly computed both rankings across all five airlines, broke down exact tied rankings with proper sub-percentage precision, and correctly concluded 'No'. Quote: ""No — the top-ranked airline differs. Alaska Air Group leads on revenue growth (+12.6%), while Delta Air Lines leads on FY2024 operating margin (9.7%).""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-BREAK-01,2,airline_comparability_break,correct,cites_relevant_note,n/a,,"The model correctly identifies United as the growth momentum leader on an organic/like-for-like basis and on a 2-year basis, specifically noting and explaining the impact of Alaska's Hawaiian acquisition ($869M). Quote: ""United Airlines Holdings showed the strongest comparable (organic) revenue growth momentum through FY2024, with revenue growing ~26.9% from FY2022 to FY2024 and ~6.2% from FY2023 to FY2024""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-BREAK-01,3,airline_comparability_break,correct,cites_relevant_note,n/a,,"The model correctly identifies United as the leader on an organic/comparable basis and accurately adjusts Alaska's numbers by removing the $869M Hawaiian Holdings acquisition contribution. Quote: ""United Airlines Holdings had the strongest revenue growth momentum through FY2024 (~+26.9% FY2022–FY2024, and tied for the top ~6.2% YoY growth in 2023–2024), once Alaska's figures are adjusted""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-BREAK-02,2,airline_comparability_break,correct,cites_relevant_note,n/a,,"The model correctly adjusted Alaska's FY2024 revenue by subtracting the $869M Hawaiian contribution, computed exact growth rates for both time horizons, provided the correct rankings matching the key, and answered 'Yes' with United on top of both. Quote: ""United Airlines is the top-ranked airline in both the FY2023→FY2024 growth ranking (6.23%) and the FY2022→FY2024 growth ranking (26.93%)""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-BREAK-02,3,airline_comparability_break,correct,cites_relevant_note,n/a,,"The model correctly excludes Hawaiian Holdings revenue ($869M) from Alaska's FY2024 revenue, calculates both sets of growth rates accurately, produces the exact rankings required, and correctly answers 'Yes'. Quote: ""United Airlines Holdings is the top-ranked airline by revenue growth in both the FY2023→FY2024 comparison (6.23%) and the FY2022→FY2024 comparison (26.94%)""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-CTRL-01,2,airline_control,correct,cites_relevant_note,n/a,,"The model clearly names Delta as the most profitable airline and provides correct supporting figures ($3,457M net income) consistent with the answer key and rubric requirements. Quote: ""ANSWER: Delta Air Lines (FY2024 net income of $3,457 million, the highest among Delta, United, Southwest, American, and Alaska)""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-CTRL-01,3,airline_control,correct,cites_relevant_note,n/a,,"The model correctly identifies Delta Air Lines as the most profitable airline across both net income and operating income, with figures that match the key. Quote: ""ANSWER: Delta Air Lines""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-CTRL-02,2,airline_control,correct,cites_relevant_note,n/a,,"The model accurately computes all ratios, provides the exact rankings matching the key for both operating margin and net margin, and answers 'yes'. Quote: ""ANSWER: Yes — Delta ranks #1 in both operating margin (9.73%) and net margin (5.61%) for FY2024; United is #2 in both.""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-CTRL-02,3,airline_control,correct,cites_relevant_note,n/a,,"Both rankings are entirely correct and match the answer key figures, and the model correctly concludes 'Yes'. Quote: ""ANSWER: Yes — Delta ranks #1 in both operating margin (9.73%) and net margin (5.61%) for FY2024.""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-CTRL-03,2,airline_control,correct,cites_relevant_note,n/a,,"The model correctly identifies Delta as having the most efficient cost structure using revenue-normalized costs (operating margin and labor/fuel as a percentage of revenue) across all five airlines, while also noting the acquisition comparability caveat for Alaska. Quote: ""Delta Air Lines had the most efficient cost structure in FY2024, with the highest operating margin (9.73%) and the lowest combined fuel-plus-labor expense ratio (43.4% of revenue)""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-CTRL-03,3,airline_control,correct,cites_relevant_note,n/a,,"The model correctly identifies Delta using revenue-normalized metrics (operating margin and fuel + labor costs as a percentage of revenue) without succumbing to over-hedging or absolute dollar traps. Quote: ""Delta Air Lines had both the highest operating margin (9.7%) [DOC-1] and the lowest combined fuel-and-labor cost ratio (43.4% of revenue)""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-CTRL-04,2,airline_control,correct,cites_relevant_note,n/a,,"The model correctly calculated all 10 ratios, produced both correct rankings (lowest to highest), identified Delta as top-ranked in both, answered 'Yes', and appropriately noted the partial-year acquisition comparability issue for Alaska. Quote: ""ANSWER: Yes — Delta ranks lowest (best) in both the fuel-expense-to-revenue ranking (Delta < United < American < Southwest < Alaska) and the salaries-to-revenue ranking""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-CTRL-04,3,airline_control,correct,cites_relevant_note,n/a,,"The response computes all 10 ratios accurately, correctly determines both rankings (lowest first), and confirms that Delta is top-ranked in both, answering 'Yes' as required by the grading rubric. Quote: ""ANSWER: Yes — Delta Air Lines ranks lowest (1st) in both fuel expense-to-revenue (17.14%) and salaries/wages/benefits-to-revenue (26.22%).""",high,google/gemini-3.8-flash,78eabc0e77e5e707
claude,no_tool,AIR-TRADE-01,2,airline_tradeoff,correct,cites_relevant_note,n/a,,"The model accurately surfaces both dimensions: Southwest's vastly superior balance sheet (positive equity vs. deficit, far lower long-term debt) and American's lead in operating profitability/income, satisfying the rubric. Quote: ""Southwest's positive equity and lower debt burden make it the financially stronger company overall as of year-end 2024.""",high,google/gemini-3.8-flash,78eabc0e77e5e707
