model,tool_condition,item_id,repeat,bucket,comparability_flag,evidence_grounding,tool_use_correctness,failure_category,evidence_quote,confidence,review_reason,grader,approved
claude,no_tool,AIR-BREAK-01,,airline_comparability_break,correct,cites_relevant_note,n/a,,"Names United as organic leader on 1- and 2-year growth and attributes Alaska's headline lead to the $869M Hawaiian contribution. Quote: ""United Airlines Holdings showed the strongest comparable (organic) revenue growth momentum through FY2024""",high,,,
claude,tool,AIR-BREAK-01,,airline_comparability_break,correct,misread_evidence,effective,,"Retrieved the Hawaiian note and names United with the acquisition explained, but misstates Alaska's 4.2% organic growth as the weakest (American 2.7% is lower); low because a grader could penalize that misread. Quote: ""excluding that, Alaska's organic growth (~4.2%) was actually the weakest of the five""",low,,,
gpt,no_tool,AIR-BREAK-01,,airline_comparability_break,correct,cites_relevant_note,n/a,,"Flags that Hawaiian inflates Alaska's growth and names United on two-year growth among comparable carriers; does not compute Alaska ex-Hawaiian but explains the lead is inorganic. Quote: ""United shows the highest two-year compound growth""",high,,,
gpt,tool,AIR-BREAK-01,,airline_comparability_break,partial,cites_relevant_note,effective,unsupported_conclusion;wrong_entity,"Retrieved and flagged the Hawaiian acquisition but still names Alaska without adjusting, which the rubric defines as partial. Quote: ""Alaska (with the important caveat that its 2024 growth momentum is boosted by the Hawaiian acquisition""",high,,,
opus,no_tool,AIR-BREAK-01,,airline_comparability_break,correct,cites_relevant_note,n/a,,"Adjusts Alaska to ~$10,866M (+4.2%) and names United as like-for-like leader. Quote: ""United Airlines Holdings — on an organic, like-for-like basis United had the strongest momentum""",high,,,
opus,tool,AIR-BREAK-01,,airline_comparability_break,correct,cites_relevant_note,effective,,"Retrieved the acquisition note, strips $869M, ranks Alaska correctly and names United. Quote: ""Alaska's apparent leadership is an artifact of M&A.""",high,,,
claude,no_tool,AIR-BREAK-02,,airline_comparability_break,correct,cites_relevant_note,n/a,,"Both rankings match the key (United > Delta > Southwest > Alaska ex-Hawaiian > American) and answers yes. Quote: ""Yes — United Airlines Holdings is the top-ranked airline by revenue growth in both the FY2023→FY2024 period (6.23% vs. Delta's 6.19%)""",high,,,
claude,tool,AIR-BREAK-02,,airline_comparability_break,correct,cites_relevant_note,effective,,"Retrieved the note, subtracts $869M, both rankings correct, answers yes. Quote: ""Yes — United Airlines ranks #1 in both periods""",high,,,
gpt,no_tool,AIR-BREAK-02,,airline_comparability_break,incorrect,misread_evidence,n/a,definition_accounting_error;wrong_entity,"Ranks by absolute dollar growth instead of percentage growth, putting Delta first for one year and answering a wrong no. Quote: ""No, the top-ranked airline is Delta for 2023–2024 growth and United for 2022–2024 growth""",high,,,
gpt,tool,AIR-BREAK-02,,airline_comparability_break,correct,cites_relevant_note,effective,,"Retrieved the note, percentage rankings match the key, answers yes. Quote: ""Yes, the top-ranked airline is the same in both rankings: United Airlines.""",high,,,
opus,no_tool,AIR-BREAK-02,,airline_comparability_break,correct,cites_relevant_note,n/a,,"Both rankings correct with Alaska ex-Hawaiian, answers yes; one garbled sentence about ordering is corrected in the same line. Quote: ""Yes — United is top-ranked in both""",high,,,
opus,tool,AIR-BREAK-02,,airline_comparability_break,correct,cites_relevant_note,effective,,"Retrieved the note, both rankings correct, answers yes. Quote: ""Yes — United is #1 in both.""",high,,,
claude,no_tool,AIR-CTRL-01,,airline_control,correct,cites_relevant_note,n/a,,"Commits to Delta with net income for all five matching evidence (margins not computed, but rubric only requires naming Delta with figures): ""Delta Air Lines was the most profitable in FY2024, with net income of $3,457 million""",high,,,
claude,tool,AIR-CTRL-01,,airline_control,correct,cites_relevant_note,effective,,"Retrieved all five airlines plus the acquisition note; commits to Delta on net income with correct figures: ""Delta Air Lines (FY2024 net income of $3,457 million, the highest among the five)""",high,,,
