model,tool_condition,item_id,repeat,bucket,verifier,tool_steps,terminal_reward,return,solved,scoring
claude,no_tool,AIR-BREAK-01,1,airline_comparability_break,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-BREAK-01,2,airline_comparability_break,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-BREAK-01,3,airline_comparability_break,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-BREAK-02,1,airline_comparability_break,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-BREAK-02,2,airline_comparability_break,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-BREAK-02,3,airline_comparability_break,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-CTRL-01,1,airline_control,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-CTRL-01,2,airline_control,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-CTRL-01,3,airline_control,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-CTRL-02,1,airline_control,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-CTRL-02,2,airline_control,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-CTRL-02,3,airline_control,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-CTRL-03,1,airline_control,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-CTRL-03,2,airline_control,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-CTRL-03,3,airline_control,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-CTRL-04,1,airline_control,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-CTRL-04,2,airline_control,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-CTRL-04,3,airline_control,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-TRADE-01,1,airline_tradeoff,judge,0,0.0,0.0,False,judge
claude,no_tool,AIR-TRADE-01,2,airline_tradeoff,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-TRADE-01,3,airline_tradeoff,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-TRADE-02,1,airline_tradeoff,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-TRADE-02,2,airline_tradeoff,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-TRADE-02,3,airline_tradeoff,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-XENT-01,1,airline_cross_entity,judge,0,0.0,0.0,False,judge
claude,no_tool,AIR-XENT-01,2,airline_cross_entity,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-XENT-01,3,airline_cross_entity,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-XENT-02,1,airline_cross_entity,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-XENT-02,2,airline_cross_entity,judge,0,1.0,1.0,True,judge
claude,no_tool,AIR-XENT-02,3,airline_cross_entity,judge,0,1.0,1.0,True,judge
claude,no_tool,MULTI-BREAK-01,1,multi_sector_comparability_break,judge,0,1.0,1.0,True,judge
claude,no_tool,MULTI-BREAK-01,2,multi_sector_comparability_break,judge,0,1.0,1.0,True,judge
claude,no_tool,MULTI-BREAK-01,3,multi_sector_comparability_break,judge,0,1.0,1.0,True,judge
claude,no_tool,MULTI-BREAK-02,1,multi_sector_comparability_break,judge,0,1.0,1.0,True,judge
claude,no_tool,MULTI-BREAK-02,2,multi_sector_comparability_break,judge,0,1.0,1.0,True,judge
claude,no_tool,MULTI-BREAK-02,3,multi_sector_comparability_break,judge,0,1.0,1.0,True,judge
